Sigma Ratio Sc_solvent Sc_all Rho Emol nbonds A11 A12 A13 A14 A15 A22 A23 A24 A25 A33 A34 A35 A44 A45 A55 B Gamma rD kB Fsrp Rsrp Press1 Press2 Comp1 Comp2 Comp3 Comp4 Comp5
4.90843 0.0143795 2149.95 2046.07 6.94 0 0 -46.34 -76.0 -44.02 -103.34 -60.24 -70.64 -305.87 -176.6 -47.33 -23.15 -33.8 -33.8 -59.72 -81.22 -42.11 73.94 15.11 1.1 0.0 0.0 0.0 460.603 -0.273 0.907 0.022 0.03 0.015 0.026 
3.46841 -0.252444 20538.2 18458.7 7.28 0 0 -33.65 -150.42 -44.75 -54.51 -54.51 -66.64 -185.93 -304.54 -95.3 -78.16 -53.93 -282.16 -43.85 -163.56 -65.29 76.39 15.98 1.43 0.0 0.0 0.0 650.674 -0.381 0.879 0.021 0.036 0.045 0.019 
0.273859 0.424885 2618.54 2618.54 5.89 0 0 -25.69 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 76.5 13.7 1.16 0.0 0.0 0.0 275.122 0.14 1.0 0.0 0.0 0.0 0.0 
9.92868 0.176248 14197.2 13606.9 5.95 1973.9705 63 -71.95 -348.24 -354.71 0.0 0.0 -118.4 -530.43 0.0 0.0 -11.56 0.0 0.0 0.0 0.0 0.0 69.08 12.5 1.22 48.3 96.1 1.88 14.841 -0.502 0.95 0.039 0.011 0.0 0.0 
1.1347 0.338714 1320.23 1314.32 6.52 5002.1851 266 -14.08 -32.24 0.0 0.0 0.0 -34.03 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 40.48 14.43 1.56 26.7 67.3 1.6 246.597 1.613 0.978 0.022 0.0 0.0 0.0 
0.360624 0.334783 413.088 413.088 5.96 0 0 -13.19 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 50.26 14.8 1.16 0.0 0.0 0.0 210.569 1.932 1.0 0.0 0.0 0.0 0.0 
3.78163 0.199397 1009.15 986.176 7.56 1299.6276 80 -39.52 -161.24 -70.74 -152.94 -15.02 -37.64 -128.73 -101.63 -28.98 -12.17 -20.69 -23.37 -40.18 -82.77 -86.71 39.46 12.18 1.39 22.6 65.0 1.76 275.21 -0.457 0.936 0.007 0.038 0.007 0.012 
15.4774 0.150632 587.042 550.823 7.38 0 0 -49.28 -10.84 -29.57 -153.75 -89.69 -34.96 -108.38 -24.12 -89.85 -61.05 -171.55 -58.61 -56.84 -162.56 -98.98 26.53 13.84 1.43 0.0 0.0 0.0 35.465 -0.834 0.899 0.036 0.012 0.021 0.032 
23.6859 0.121471 1036.34 1036.34 6.73 0 0 -95.08 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 56.6 13.22 1.38 0.0 0.0 0.0 53.219 -0.929 1.0 0.0 0.0 0.0 0.0 
2.73385 0.466799 1586.2 1499.23 4.64 0 0 -31.4 -108.33 -116.81 -136.28 -65.94 -12.58 -8.05 -55.6 -16.61 -49.87 -117.69 -157.09 -58.95 -106.11 -79.32 76.96 14.34 1.45 0.0 0.0 0.0 13.807 -0.216 0.877 0.049 0.026 0.005 0.043 
1.04782 0.337904 1158.56 1066 4.54 0 0 -10.87 -7.28 -10.87 -5.76 0.0 -21.38 -99.84 -63.93 0.0 -13.03 -33.36 0.0 -32.63 0.0 0.0 79.72 12.93 1.56 0.0 0.0 0.0 70.809 1.631 0.898 0.03 0.023 0.049 0.0 
0.0109141 0.34538 80.4303 80.4303 3.94 0 0 -18.06 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 28.28 12.63 1.59 0.0 0.0 0.0 4.303 0.342 1.0 0.0 0.0 0.0 0.0 
0.111747 0.335474 253.663 245.593 7.36 0 0 -10.79 -30.43 -15.54 0.0 0.0 -22.3 -67.79 0.0 0.0 -64.48 0.0 0.0 0.0 0.0 0.0 15.37 15.96 1.43 0.0 0.0 0.0 127.442 1.293 0.938 0.035 0.027 0.0 0.0 
0.440037 0.333048 72.4521 64.0859 5.1 3956.4024 393 -16.54 -80.55 -78.07 -72.61 -32.91 -113.68 -380.83 -129.6 -231.91 -85.47 -36.75 -391.45 -23.68 -12.08 -45.42 34.24 15.91 1.08 11.1 59.1 1.9 20.08 1.159 0.846 0.029 0.047 0.042 0.036 
5.12284 0.22636 2508.19 2371.1 6.36 0 0 -42.33 -169.32 -22.86 -139.69 0.0 -77.68 -290.52 -274.99 0.0 -118.09 -544.39 0.0 -97.36 0.0 0.0 59.71 12.11 1.39 0.0 0.0 0.0 198.5 -0.366 0.935 0.034 0.03 0.001 0.0 
3.72031 -0.365202 1271.98 1201.02 5.89 7153.7863 337 -36.62 -69.58 -30.03 -142.09 -17.94 -57.57 -77.14 -224.52 -24.18 -60.53 -217.91 -176.14 -26.11 -72.06 -57.96 49.36 13.74 1.41 30.6 44.6 1.93 97.826 -0.34 0.917 0.038 0.005 0.011 0.029 
40.0416 0.160228 4.97804e+06 4.92343e+06 7.69 21185.481 716 -111.3 -169.18 -533.13 -106.85 0.0 -41.41 -160.26 -196.7 0.0 -55.92 -171.12 0.0 -73.66 0.0 0.0 61.48 13.44 1.48 45.1 77.3 1.66 16.366 -1.846 0.898 0.025 0.045 0.032 0.0 
0.877439 0.347605 32.9214 32.9214 4.81 0 0 -18.69 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 35.4 12.48 1.17 0.0 0.0 0.0 29.356 0.427 1.0 0.0 0.0 0.0 0.0 
7.78942 0.243171 450.955 411.166 6.69 8764.8907 917 -32.9 -29.94 -122.39 -36.19 0.0 -52.66 -63.19 -40.55 0.0 -91.1 -278.77 0.0 -69.59 0.0 0.0 21.23 13.75 1.5 10.6 39.4 1.36 15.358 -0.603 0.889 0.039 0.031 0.041 0.0 
0.0206921 0.00427251 1236.53 1236.53 7.32 0 0 -26.34 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 35.11 12.86 1.62 0.0 0.0 0.0 284.104 -0.405 1.0 0.0 0.0 0.0 0.0 
16.8987 0.127897 1.45477e+07 1.40972e+07 7.42 0 0 -85.13 -246.03 0.0 0.0 0.0 -46.99 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 67.32 12.86 1.28 0.0 0.0 0.0 226.084 -0.719 0.969 0.031 0.0 0.0 0.0 
0.458277 0.335804 46.6155 45.2332 6.09 709.14859 22 -11.93 -53.33 -13.24 -41.28 0.0 -35.52 -171.56 -5.68 0.0 -101.41 -457.36 0.0 -115.08 0.0 0.0 22.9 12.72 1.11 50.5 49.3 1.41 85.406 1.324 0.967 0.014 0.011 0.008 0.0 
0.59377 0.337116 233.121 224.86 4.03 2832.3729 82 -15.92 -66.39 -78.33 0.0 0.0 -114.66 -427.68 0.0 0.0 -93.34 0.0 0.0 0.0 0.0 0.0 78.94 15.75 1.47 53.9 36.3 1.75 25.066 0.937 0.956 0.024 0.02 0.0 0.0 
23.7273 0.174041 1.38384e+06 1.34299e+06 7.93 0 0 -95.39 -435.93 -354.85 -143.08 0.0 -35.14 -42.87 -131.07 0.0 -99.54 -97.55 0.0 -112.93 0.0 0.0 60.75 14.32 1.5 0.0 0.0 0.0 232.934 -1.354 0.965 0.024 0.008 0.003 0.0 
2.36304 -0.719585 232.482 232.41 5.73 0 0 -30.9 -147.7 -76.94 0.0 0.0 -24.72 -105.8 0.0 0.0 -92.52 0.0 0.0 0.0 0.0 0.0 40.11 14.55 1.26 0.0 0.0 0.0 69.584 -0.212 0.987 0.001 0.012 0.0 0.0 
12.3285 0.0422303 338.24 338.24 7.76 0 0 -59.45 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 48.1 14.69 1.01 0.0 0.0 0.0 347.386 -0.392 1.0 0.0 0.0 0.0 0.0 
1.49015 0.325594 1.68076e+10 1.80232e+10 5.52 10115.395 291 -42.72 -135.0 0.0 0.0 0.0 -65.03 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 76.25 15.53 1.51 54.1 34.2 1.7 112.875 -0.43 0.973 0.027 0.0 0.0 0.0 
14.9968 0.241959 3.90516e+10 3.81713e+10 7.73 0 0 -71.75 -225.3 0.0 0.0 0.0 -64.92 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 62.85 15.74 1.68 0.0 0.0 0.0 318.725 -1.367 0.973 0.027 0.0 0.0 0.0 
1.52455 0.264651 826.115 777.773 5.66 4167.3035 168 -17.0 -22.44 -6.46 -9.52 0.0 -48.52 -59.68 -29.11 0.0 -24.04 -3.61 0.0 -56.24 0.0 0.0 23.04 14.38 1.67 36.7 62.2 1.9 44.746 0.311 0.931 0.028 0.02 0.021 0.0 
1.22488 -0.0879496 47.3307 47.1586 4.22 386.33728 41 -29.84 -63.86 0.0 0.0 0.0 -75.67 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 64.1 15.15 1.09 12.0 59.9 1.89 7.848 -0.038 0.988 0.012 0.0 0.0 0.0 
1.83788 0.105708 2.05597e+10 2.02753e+10 7.98 10386.775 267 -36.82 -63.7 0.0 0.0 0.0 -61.17 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 71.23 12.33 1.7 57.9 70.0 1.97 796.473 -0.593 0.982 0.018 0.0 0.0 0.0 
